,title,price,link
10,"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS  ","43,990",https://amazon.in//ASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS/dp/B0BTWF2BQX/ref=sr_1_92?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-92
11,"HP Laptop 15, 13th Gen Intel® Core™ i5-1334U, 15.6-inch(39.6 cm), FHD, 8GB DDR4(3200 MHZ),512GB SSD,MSO,Dual Speakers,Win 11, Natural Silver, 1.6kg, 15-fd0220TU  ","52,990",https://amazon.in//HP-i5-1334U-15-6-inch-Speakers-15-fd0220TU/dp/B0CY2PZZJB/ref=sr_1_93?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-93
12,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15 (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg  ","50,750",https://amazon.in//Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_94?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-94
13,"(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor, 16 GB Ram & 128 GB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Nvidia Quadro M1000M (2GB Graphic Card) Laptop  ","35,390",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2ODQ0ODg3NDk3MDU2MTQzOjE3MjQ4Njc2NzM6c3BfbXRmOjMwMDE1MzkyOTcyNDUzMjo6MDo6&url=%2FRefurbished-Dell-Precision-7510-Intel%2Fdp%2FB0CZDBF68D%2Fref%3Dsr_1_12_sspa%3Fcrid%3D17B5S1XE7R3NU%26dib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdhAAbN6K0HiTrJeNhh7vO-K_NjOUfEDq-nniBb60kQVPCWf7rLCzE1c7Mh3c4PWNH1cTw096kyElRAwvJKA07g5SjSeFQAoR30Oah4pRlLGYWPIcGq7p7ewpjpSq1kHLxsP2MKXzaPA_r1xu3Nz5q6uIp8DebOUpK8fr5SNivQxfl6NVjiVZHGWSkOf5k5i6E8.pDF8CDLmr9A-IPIyc0dykign7YsSoKmxXhRImJH2QFY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724867672%26sprefix%3Dlaptop%252Caps%252C271%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W  ","67,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_95?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-95
15,"HP Laptop 14, Intel Core i5-1335U, 14-inch(35.6 cm),FHD,Anti-glare,16GB DDR4,512GB SSD,Intel Iris X graphics, Imagepad,Dual speakers, Windows 11,MSO,Silver,1.4 kg, 14-gr0001TU  ","61,999",https://amazon.in//HP-i5-1335U-Anti-glare-graphics-14-gr0001TU/dp/B0D9JVGP6P/ref=sr_1_96?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-96
16,"(Refurbished) Fujitsu Laptop H770 Intel QuadCore i7-7th Gen Xeon E3-1505M V6 @ 3.0 Ghz Processor4GB Nvidia Quadro M2200 Graphic (64GB RAM/2 TB SSD/15.6"" FHD (1080p)/Win 10/BT/ Numeric Keypad/ Silver)  ","48,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDA1OTM1MDEyODUwNjA3OjE3MjQ4Njc3MTQ6c3BfYXRmX25leHQ6MzAwMjg2MzcwMTc0NDMyOjowOjo&url=%2FRefurbished-Fujitsu-QuadCore-E3-1505M-Processor4GB%2Fdp%2FB0DC4DPK34%2Fref%3Dsr_1_97_sspa%3Fcrid%3D17B5S1XE7R3NU%26dib%3DeyJ2IjoiMSJ9.pGch5bIT7bpyytAeuNf0LZ0X_vYZ6XL9X3abCkPTvXT4-rxqJgkmw6JrBZzGOOHcQUzJbNwlSoR9boXZ5Or3sH6y1JSW2uxBKmealsqISTRsAPrEpgkski_boHSkMBRhXoGWyPiaiwLg7xwBaTlBJRI0NWiSmp9dFkUNM8az3vl9ng_VpqLa-k7pnUeg5lhWndnceK_xiYU5MUs-GCrKich7uuRE8-VOp82w1o9KVsI.XFmYPqVJ_6iTA1MwdB9fdUDKP7mx-VpdzjHWzFY-ujU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724867713%26sprefix%3Dlaptop%252Caps%252C271%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
17,"(Refurbished) Dell Precision 7510 Intel Core i7 - 6920HQ Quad Core Processor, 16 GB Ram & 2TB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Dual Intel & Nvidia Quadro M2000M (4GB Graphic ) Laptop  ","52,590",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDA1OTM1MDEyODUwNjA3OjE3MjQ4Njc3MTQ6c3BfYXRmX25leHQ6MzAwMTUzOTI5NzI1NTMyOjowOjo&url=%2FRefurbished-Dell-Precision-7510-Intel%2Fdp%2FB0CZDSX2JQ%2Fref%3Dsr_1_98_sspa%3Fcrid%3D17B5S1XE7R3NU%26dib%3DeyJ2IjoiMSJ9.pGch5bIT7bpyytAeuNf0LZ0X_vYZ6XL9X3abCkPTvXT4-rxqJgkmw6JrBZzGOOHcQUzJbNwlSoR9boXZ5Or3sH6y1JSW2uxBKmealsqISTRsAPrEpgkski_boHSkMBRhXoGWyPiaiwLg7xwBaTlBJRI0NWiSmp9dFkUNM8az3vl9ng_VpqLa-k7pnUeg5lhWndnceK_xiYU5MUs-GCrKich7uuRE8-VOp82w1o9KVsI.XFmYPqVJ_6iTA1MwdB9fdUDKP7mx-VpdzjHWzFY-ujU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724867713%26sprefix%3Dlaptop%252Caps%252C271%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
18,"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS  ","33,990",https://amazon.in//ASUS-Vivobook-Laptop-Office-E1404FA-NK325WS/dp/B0CCPC5DTD/ref=sr_1_99?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.pGch5bIT7bpyytAeuNf0LZ0X_vYZ6XL9X3abCkPTvXT4-rxqJgkmw6JrBZzGOOHcQUzJbNwlSoR9boXZ5Or3sH6y1JSW2uxBKmealsqISTRsAPrEpgkski_boHSkMBRhXoGWyPiaiwLg7xwBaTlBJRI0NWiSmp9dFkUNM8az3vl9ng_VpqLa-k7pnUeg5lhWndnceK_xiYU5MUs-GCrKich7uuRE8-VOp82w1o9KVsI.XFmYPqVJ_6iTA1MwdB9fdUDKP7mx-VpdzjHWzFY-ujU&dib_tag=se&keywords=laptop&qid=1724867713&sprefix=laptop%2Caps%2C271&sr=8-99
19,"ASUS Vivobook 15, 15.6"" (39.62cm) FHD, Intel Core i7-12700H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Intel Iris Xᵉ Graphics/Windows 11/Office 2021/Quiet Blue/1.7 Kg), X1502ZA-EJ744WS  ","64,938",https://amazon.in//ASUS-Vivobook-i7-12700H-Graphics-X1502ZA-EJ744WS/dp/B0D3LQRHWC/ref=sr_1_100?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.pGch5bIT7bpyytAeuNf0LZ0X_vYZ6XL9X3abCkPTvXT4-rxqJgkmw6JrBZzGOOHcQUzJbNwlSoR9boXZ5Or3sH6y1JSW2uxBKmealsqISTRsAPrEpgkski_boHSkMBRhXoGWyPiaiwLg7xwBaTlBJRI0NWiSmp9dFkUNM8az3vl9ng_VpqLa-k7pnUeg5lhWndnceK_xiYU5MUs-GCrKich7uuRE8-VOp82w1o9KVsI.XFmYPqVJ_6iTA1MwdB9fdUDKP7mx-VpdzjHWzFY-ujU&dib_tag=se&keywords=laptop&qid=1724867713&sprefix=laptop%2Caps%2C271&sr=8-100
